,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2012-08-01 00:00:00+00:00,232.09,234.38,230.7001,234.14,2543800,11.6045,11.719,11.535005,11.707,50876000,0.0,1.0
1,2012-08-02 00:00:00+00:00,230.81,234.34,228.66,230.56,3048100,11.5405,11.717,11.433,11.528,60962000,0.0,1.0
2,2012-08-03 00:00:00+00:00,234.97,236.49,233.03,234.03,2825300,11.7485,11.8245,11.6515,11.7015,56506000,0.0,1.0
3,2012-08-06 00:00:00+00:00,233.99,235.74,233.81,235.56,1843700,11.6995,11.787,11.6905,11.778,36874000,0.0,1.0
4,2012-08-07 00:00:00+00:00,236.56,238.0,233.25,234.13,2058300,11.828,11.9,11.6625,11.7065,41166000,0.0,1.0
5,2012-08-08 00:00:00+00:00,234.38,236.45,233.592,235.29,1534300,11.719,11.8225,11.6796,11.7645,30686000,0.0,1.0
6,2012-08-09 00:00:00+00:00,234.06,235.99,233.5,233.93,1548100,11.703,11.7995,11.675,11.6965,30962000,0.0,1.0
7,2012-08-10 00:00:00+00:00,232.75,234.85,231.43,233.08,1852500,11.6375,11.7425,11.5715,11.654,37050000,0.0,1.0
8,2012-08-13 00:00:00+00:00,232.44,234.3676,231.0,232.23,1997300,11.622,11.71838,11.55,11.6115,39946000,0.0,1.0
9,2012-08-14 00:00:00+00:00,233.19,236.72,232.6207,234.71,2751000,11.6595,11.836,11.631035,11.7355,55020000,0.0,1.0
10,2012-08-15 00:00:00+00:00,237.42,238.14,232.25,232.26,3264700,11.871,11.907,11.6125,11.613,65294000,0.0,1.0
11,2012-08-16 00:00:00+00:00,241.55,242.825,236.2,237.72,4312100,12.0775,12.14125,11.81,11.886,86242000,0.0,1.0
12,2012-08-17 00:00:00+00:00,241.17,243.35,240.47,240.6,3085800,12.0585,12.1675,12.0235,12.03,61716000,0.0,1.0
13,2012-08-20 00:00:00+00:00,240.35,241.65,238.2,241.3736,1889900,12.0175,12.0825,11.91,12.06868,37798000,0.0,1.0
14,2012-08-21 00:00:00+00:00,239.45,243.85,238.55,240.88,2571500,11.9725,12.1925,11.9275,12.044,51430000,0.0,1.0
15,2012-08-22 00:00:00+00:00,243.1,244.9,238.8,239.4,2473700,12.155,12.245,11.94,11.97,49474000,0.0,1.0
16,2012-08-23 00:00:00+00:00,241.198,243.48,239.02,242.14,2453900,12.0599,12.174,11.951,12.107,49078000,0.0,1.0
17,2012-08-24 00:00:00+00:00,245.74,246.87,241.36,241.68,3698800,12.287,12.3435,12.068,12.084,73976000,0.0,1.0
18,2012-08-27 00:00:00+00:00,243.92,247.5,243.12,245.79,2929700,12.196,12.375,12.156,12.2895,58594000,0.0,1.0
19,2012-08-28 00:00:00+00:00,246.11,246.7799,243.0,243.97,2742300,12.3055,12.338995,12.15,12.1985,54846000,0.0,1.0
20,2012-08-29 00:00:00+00:00,247.12,247.61,244.59,246.78,1772600,12.356,12.3805,12.2295,12.339,35452000,0.0,1.0
21,2012-08-30 00:00:00+00:00,246.22,250.0,245.25,246.99,3647500,12.311,12.5,12.2625,12.3495,72950000,0.0,1.0
